acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(mbar)	VAC.VGI_1(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439797186.348	09:39:46 17/08/2015		7.600000E-10	9.399980E-9	4.899990E-9	7.500000E-10	8.5556	
1439797187.211	09:39:47 17/08/2015		7.500000E-10	7.600000E-10	9.499980E-9	1.000000E+4	8.5556	
1439797188.075	09:39:48 17/08/2015		9.499980E-9	1.000000E+4	4.899990E-9	4.899990E-9	8.5556	
1439797188.943	09:39:48 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	1.000000E+4	8.5556	
1439797189.800	09:39:49 17/08/2015		7.500000E-10	7.500000E-10	9.399980E-9	4.999990E-9	8.5556	
1439797190.653	09:39:50 17/08/2015		4.999990E-9	9.399980E-9	9.399980E-9	1.000000E+4	8.5556	
1439797191.653	09:39:51 17/08/2015		7.500000E-10	1.000000E+4	4.999990E-9	1.000000E+4	8.5556	
1439797192.503	09:39:52 17/08/2015		9.399980E-9	1.000000E+4	4.999990E-9	7.500000E-10	8.5556	
1439797193.362	09:39:53 17/08/2015		4.899990E-9	9.499980E-9	9.499980E-9	7.500000E-10	8.5556	
1439797194.362	09:39:54 17/08/2015		4.899990E-9	7.500000E-10	1.000000E+4	1.000000E+4	8.5556	
1439797195.238	09:39:55 17/08/2015		9.499980E-9	7.500000E-10	4.899990E-9	1.000000E+4	8.5556	
1439797196.097	09:39:56 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797196.957	09:39:56 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797197.820	09:39:57 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797198.820	09:39:58 17/08/2015		7.500000E-10	9.399980E-9	9.399980E-9	4.899990E-9	8.5556	
1439797199.699	09:39:59 17/08/2015		4.999990E-9	1.000000E+4	7.500000E-10	1.000000E+4	8.5556	
1439797200.555	09:40:00 17/08/2015		9.399980E-9	7.500000E-10	4.999990E-9	1.000000E+4	8.5556	
1439797201.408	09:40:01 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797202.273	09:40:02 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797203.133	09:40:03 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797204.002	09:40:04 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797205.002	09:40:05 17/08/2015		7.500000E-10	9.499980E-9	9.499980E-9	4.999990E-9	8.5556	
1439797205.864	09:40:05 17/08/2015		4.899990E-9	1.000000E+4	7.500000E-10	1.000000E+4	8.5556	
1439797206.722	09:40:06 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797207.575	09:40:07 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797208.438	09:40:08 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797209.298	09:40:09 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797210.157	09:40:10 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797211.202	09:40:11 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	1.000000E+4	8.5556	
1439797212.242	09:40:12 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439797213.242	09:40:13 17/08/2015		7.500000E-10	9.399980E-9	9.399980E-9	4.899990E-9	8.5556	
1439797214.284	09:40:14 17/08/2015		4.899990E-9	1.000000E+4	7.500000E-10	7.500000E-10	8.5556	
1439797215.318	09:40:15 17/08/2015		9.399980E-9	4.999990E-9	7.500000E-10	7.500000E-10	8.5556	
1439797216.328	09:40:16 17/08/2015		9.399980E-9	4.899990E-9	7.500000E-10	7.500000E-10	8.5556	
1439797217.328	09:40:17 17/08/2015		7.500000E-10	9.399980E-9	9.399980E-9	4.899990E-9	8.5556	
